symbol,network,contract
WBTC,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
WETH,ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
USDC,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
USDCe,polygon,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
WETH,polygon,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
WPOL,polygon,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
POL,polygon,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
WMATIC,polygon,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270
WBTC,polygon,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
LINK,polygon,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39
SOL,polygon,0x7dff46370e9ea5f0bad3c4e29711ad50062ea7a4
WSOL,polygon,0x7dff46370e9ea5f0bad3c4e29711ad50062ea7a4
AAVE,polygon,0xd6df932a45c0f255f85145f286ea0b292b21c90b
AAVEV3,polygon,0x794a61358D6845594F94dc1DB02A252b5b4814aD
DUSD,polygon,0xbae28251b2a4e621aa7e20538c06dee010bc06de
USDmny,polygon,0xc4c6333afdd510066786e0d257eb91095fd729e3
MaticX,polygon,0xfa68fb4628dff1028cfec22b4162fccd0d45efb6
ETHBULL3X,polygon,0x460b60565cb73845d56564384ab84bf84c13e47d
BTCBULL3X,polygon,0xdb88ab5b485b38edbeef866314f9e49d095bce39
BLPstMATICWMATIC,polygon,0x8159462d255c1d24915cb51ec361f700174cd994
CRV,polygon,0x172370d5cd63279efa6d502dab29171933a610af
GRT,polygon,0x5fe2b58c013d7601147dcdd68c143a77499f5531
DHT,polygon,0x8c92e38eca8210f4fcbf17f0951b198dd7668292
SNX,polygon,0x50b728d8d964fd00c2d0aad81718b71311fef68a
PAXG,polygon,0x553d3d295e0f695b9228246232edf400ed3560b5
UNI,polygon,0xb33eaad8d922b1083446dc23f610c2567fb5180f
GNS,polygon,0xe5417af564e4bfda1c483642db72007871397896
USDT,polygon,0xc2132d05d31c914a87c6611c10748aeb04b58e8f
LDO,polygon,0xc3c7d422809852031b44ab29eec9f1eff2a58756
ULP,polygon,0xc36442b4a4522e871399cd717abdd847ab11fe88
USDC,polygon,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359
OP,optimism,0x4200000000000000000000000000000000000042
AAVE,optimism,0x76fb31fb4af56892a25e32cfc43de717950c9278
USDCe,optimism,0x7f5c764cbc14f9669b88837ca1490cca17c31607
DHT,optimism,0xaf9fe3b5ccdae78188b1f8b9a49da7ae9510f151
WBTC,optimism,0x68f180fcce6836688e9084f035309e29bf0a2095
WETH,optimism,0x4200000000000000000000000000000000000006
wstETH,optimism,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb
WSTETH,optimism,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb
